257,5,2018-07-2414:04:58
21,11,1993-12-1123:10:50
3648,45,1996-07-0603:44:43
2671,18,2005-03-1107:38:41
3631,35,1972-02-1511:03:00
2093,47,1987-08-2121:07:23
2558,29,1987-07-1216:07:46
3370,0,1970-02-1907:27:14
1019,35,2014-06-2515:25:25
2199,14,1970-06-2306:00:32
484,4,2009-10-1100:26:06
2059,49,2004-06-2523:40:40
4721,3,2007-02-1902:13:20
707,0,1972-06-1609:48:35
3610,31,2015-04-0500:37:46
3772,35,1971-07-1407:07:24
4977,48,1989-09-2223:22:26
3390,25,1993-12-2216:28:59
106,26,2016-08-0204:41:14
2568,46,1992-04-2202:13:28
4991,22,2015-10-1111:06:41
4637,13,1981-04-1021:21:50
466,28,1992-10-2313:51:17
1214,35,1976-05-2722:57:51
404,10,2007-05-2315:17:37
3442,30,2014-06-1206:42:56
3790,1,1990-06-2921:39:55
1808,4,2012-01-1205:46:54
62,49,1980-07-1104:03:11
179,46,1988-06-2220:09:48
4795,1,2011-04-2116:39:51
1659,19,1983-04-2411:48:09
2271,40,1981-03-0923:07:20
3780,5,2009-07-1401:30:26
4958,19,1992-07-2511:44:33
3315,6,1992-10-2221:19:40
1576,8,1991-01-1807:59:28
3148,1,2010-08-0605:27:36
1070,19,1972-08-0815:17:26
1540,0,1977-04-0701:34:42
4616,15,2012-05-0109:20:59
523,16,1996-07-0108:37:18
4749,25,2003-11-0116:54:30
1190,39,1987-08-0408:48:56
558,38,1985-12-2022:39:37
2190,44,2003-11-1421:41:30
699,14,1972-03-0409:00:05
2198,31,1987-11-0606:34:38
4876,20,1989-11-2306:05:03
4905,28,2012-09-0914:26:59
795,5,1988-01-2302:39:45
411,43,1977-05-0519:11:46
3614,6,2009-11-1605:02:44
394,5,2009-04-1218:10:34
3656,30,2009-02-1219:11:35
1217,0,1984-10-2804:28:59
4356,18,1993-04-2618:33:09
575,25,1987-11-1522:18:44
4212,8,2011-09-1703:52:00
4082,45,2002-10-0618:41:11
2060,48,1985-02-1906:51:01
3290,25,1991-05-1222:46:25
3025,3,1982-05-0706:08:25
1527,22,1973-04-0508:18:13
3030,44,1993-01-0420:42:01
1144,32,1985-11-0602:33:25
2645,9,1991-10-2115:45:41
3366,14,2003-03-1911:59:52
3822,39,1996-02-1704:58:49
2409,31,1981-12-1922:07:13
4786,21,1985-06-1316:22:29
3794,35,1990-07-2012:31:18
2025,37,1999-01-0619:30:34
140,29,1996-11-0216:21:53
1606,4,1996-11-3006:25:45
464,50,1981-12-0112:02:20
1684,34,1976-03-3108:44:39
433,33,1989-09-2815:54:12
4504,5,1972-01-2500:25:44
1176,26,1995-06-1110:02:36
4337,13,2016-01-0719:33:22
4696,36,1979-11-0302:15:42
746,2,2013-02-0719:31:14
1233,44,2004-04-0407:52:54
1238,49,1992-03-1701:27:28
1784,19,1970-01-1514:04:00
3722,25,2008-01-0618:17:17
302,22,2001-07-2013:52:03
3417,12,2008-02-2719:52:42
3698,8,1970-05-0802:47:59
4372,34,1972-09-0219:31:41
4686,15,1982-10-2400:57:09
3648,26,1980-11-2018:04:54
1711,2,1973-11-0910:09:30
4103,6,2003-10-1518:29:19
2364,27,1983-10-0607:48:02
3273,2,1999-03-0509:31:23
2104,16,1989-12-1608:31:55
3419,26,1978-10-2818:38:41
2115,3,1998-01-0522:36:49
2618,33,2010-02-1107:28:03
3032,7,1997-02-1120:51:30
477,19,1995-08-2816:25:33
1849,18,1979-04-0421:23:23
359,5,1998-09-2109:39:54
2592,35,2005-02-1506:10:52
2285,37,2016-02-1303:42:24
3550,5,2006-06-1815:42:42
4105,17,2018-12-1719:05:29
3692,27,1997-02-0300:38:26
3296,3,1980-11-2403:48:40
124,0,1997-12-2407:52:59
2514,29,1982-03-3004:59:55
627,1,1987-10-0913:49:45
3727,50,1973-02-2205:02:26
1619,2,1985-06-0501:52:56
4638,18,2002-08-1401:28:55
90,46,1986-01-0816:27:58
1260,42,2003-03-0813:41:24
846,15,2003-04-0607:14:57
1359,17,1999-01-1602:59:09
2012,42,1974-09-1422:29:05
3201,13,1978-01-2214:04:20
4227,17,1970-04-2923:15:27
211,12,1999-12-0823:34:04
610,18,1973-01-1114:05:25
2687,24,1979-09-2004:32:55
1290,14,1993-06-2222:20:31
4705,37,1976-01-2522:21:17
3271,31,1977-10-0509:13:32
1335,47,1998-12-1706:32:19
2742,18,1997-02-1820:13:43
302,38,2007-01-1903:08:17
787,15,1996-07-2807:34:44
4052,11,1982-11-2104:08:31
624,15,2001-05-1521:24:48
3227,16,1997-08-0305:19:35
4571,43,2010-10-3117:30:57
938,11,2008-11-0418:45:25
4911,29,1974-02-0422:27:19
3752,39,2017-05-0705:01:46
4107,50,1993-01-0109:36:13
4290,38,2008-09-1820:19:21
955,49,1991-04-0611:37:51
2272,30,2003-09-0405:04:47
4543,31,1985-09-2308:48:21
3107,32,1978-01-0323:28:47
741,47,2008-10-2017:49:21
3816,25,2012-07-2110:23:59
1235,10,1987-01-1619:54:12
3124,46,1997-11-0620:39:19
429,36,1974-10-3107:51:54
82,43,2012-04-1407:56:43
3316,31,1979-08-2215:09:12
3999,18,1981-05-0210:47:16
3016,38,2010-10-2205:05:33
553,48,1987-11-2008:05:28
4309,25,1993-04-1304:41:26
4220,47,2004-03-1209:23:38
1000,36,2003-11-2508:02:06
891,20,1989-02-0501:15:54
1085,15,2019-02-2522:58:27
842,35,1996-10-2015:24:14
2461,36,2008-08-2406:04:59
3415,43,1999-12-3014:08:15
1471,6,1983-10-1509:46:45
2874,31,2011-07-0215:10:36
1883,15,1979-09-2322:42:37
4754,30,1975-03-0217:54:16
597,40,1998-02-0111:26:56
430,0,1991-07-1417:22:34
336,10,1994-10-1816:03:03
