0,mozzarella,fresh mozzarella is delicious on our pizza,64
1,parmesean,fresh parmesean is delicious on our pizza,143
2,ricota,fresh ricota is delicious on our pizza,125
3,gorgonzola,fresh gorgonzola is delicious on our pizza,47
4,flour,fresh flour is delicious on our pizza,127
5,salt,fresh salt is delicious on our pizza,51
6,olive oil,fresh olive oil is delicious on our pizza,36
7,mushrooms,fresh mushrooms is delicious on our pizza,41
8,bell peppers,fresh bell peppers is delicious on our pizza,95
9,banana peppers,fresh banana peppers is delicious on our pizza,35
10,spinach,fresh spinach is delicious on our pizza,74
11,Alfalfa Sprouts,fresh Alfalfa Sprouts is delicious on our pizza,98
12,Artichoke hearts,fresh Artichoke hearts is delicious on our pizza,136
13,Avocado ,fresh Avocado  is delicious on our pizza,46
14,Baby leeks,fresh Baby leeks is delicious on our pizza,95
15,Beetroot,fresh Beetroot is delicious on our pizza,63
16,Black Beans,fresh Black Beans is delicious on our pizza,96
17,Broccoli,fresh Broccoli is delicious on our pizza,15
18,Capers,fresh Capers is delicious on our pizza,18
19,Capicolla,fresh Capicolla is delicious on our pizza,131
20,Carrot,fresh Carrot is delicious on our pizza,116
21,Cherry tomatoes,fresh Cherry tomatoes is delicious on our pizza,141
22,Dried tomatoes,fresh Dried tomatoes is delicious on our pizza,31
23,Eggplant,fresh Eggplant is delicious on our pizza,91
24,Fungi,fresh Fungi is delicious on our pizza,46
25,Fungi carciofi,fresh Fungi carciofi is delicious on our pizza,38
26,Green peppers,fresh Green peppers is delicious on our pizza,78
27,Kalamata olives,fresh Kalamata olives is delicious on our pizza,128
28,Lettuce,fresh Lettuce is delicious on our pizza,99
29,Mushrooms,fresh Mushrooms is delicious on our pizza,107
30,Onions,fresh Onions is delicious on our pizza,47
31,Olives,fresh Olives is delicious on our pizza,62
32,Peas,fresh Peas is delicious on our pizza,51
33,Porcini mushrooms,fresh Porcini mushrooms is delicious on our pizza,150
34,Portobello Mushrooms,fresh Portobello Mushrooms is delicious on our pizza,102
35,Red beans,fresh Red beans is delicious on our pizza,112
36,Red onions,fresh Red onions is delicious on our pizza,116
37,Red peppers,fresh Red peppers is delicious on our pizza,50
38,Roast cauliflower,fresh Roast cauliflower is delicious on our pizza,68
39,Roasted eggplant,fresh Roasted eggplant is delicious on our pizza,131
40,Roasted Garlic,fresh Roasted Garlic is delicious on our pizza,145
41,Roasted peppers,fresh Roasted peppers is delicious on our pizza,110
42,scallions,fresh scallions is delicious on our pizza,80
43,Shallots,fresh Shallots is delicious on our pizza,75
44,Snow peas,fresh Snow peas is delicious on our pizza,140
45,Spinach,fresh Spinach is delicious on our pizza,19
46,Sun dried tomatoes,fresh Sun dried tomatoes is delicious on our pizza,124
47,Sweet corn,fresh Sweet corn is delicious on our pizza,105
48,Watercress,fresh Watercress is delicious on our pizza,140
49,Wild mushrooms,fresh Wild mushrooms is delicious on our pizza,98
50,Yellow peppers,fresh Yellow peppers is delicious on our pizza,61
51,Yellow squash,fresh Yellow squash is delicious on our pizza,53
52,Zucchini,fresh Zucchini is delicious on our pizza,115
53,Bacon,fresh Bacon is delicious on our pizza,103
54,meatballs,fresh meatballs is delicious on our pizza,29
55,chicken,fresh chicken is delicious on our pizza,50
56,peperoni,fresh peperoni is delicious on our pizza,18
57,ham,fresh ham is delicious on our pizza,27
58,sausage,fresh sausage is delicious on our pizza,133
