Abdominoplasty (Tummy Tuck ( Abdominoplasty))|48924
Ablation Therapy for Arrhythmias|36943
Ablation, Endometrial (Endometrial Ablation)|26907
Ablation, Uterus (Endometrial Ablation)|1792
Abnormal Liver Enzymes (Liver Blood Tests)|26474
Absorbent Products Incontinence (Urinary Incontinence Products for Men)|20424
Abstinence Method of Birth Control (Natural Methods of Birth Control)|29355
Acupuncture|38734
Adenoidectomy Surgical Instructions|34082
Adenosine (Exercise Stress Test)|44873
Adenosine Stress Test For Heart Disease (Coronary Artery Disease Screening Tests (CAD))|20346
AFP Blood Test (Alpha-fetoprotein Blood Test)|25268
Alexander Technique for Childbirth (Childbirth Class Options)|43708
ALK (Keratoplasty Eye Surgery (ALK))|11488
Allergy Shots|48558
Allergy, Skin Test (Skin Test For Allergy)|14245
Alpha-fetoprotein Blood Test|48770
ALT Test (Liver Blood Tests)|13301
AMA (Antimitochondrial Antibodies)|25492
Amino Acid, Homocysteine (Homocysteine)|26681
Amniocentesis|42048
Amniotic Fluid (Amniocentesis)|34994
ANA (Antinuclear Antibody)|17273
Analysis of Urine (Urinalysis)|18332
Angiogram Of Heart (Coronary Angiogram)|35734
Angioplasty (Coronary Angioplasty)|46754
Annulus Support (Heart Valve Disease Treatment)|35993
Anti-CCP (Citrulline Antibody)|23634
Anti-citrulline Antibody (Citrulline Antibody)|34709
Anti-cyclic Citrullinated Peptide Antibody (Citrulline Antibody)|657
Anti-Reflux Surgery (Fundoplication)|27149
Antimicrosomal Antibody Test (Thyroid Peroxidase Test)|29961
Antimitochondrial Antibodies|31758
Antinuclear Antibody|10499
Antithyroid Microsomal Antibody Test (Thyroid Peroxidase Test)|30162
Antro-duodenal Motility Study|47013
Aortic Heart Valve Replacement (Heart Valve Disease Treatment)|39722
Apgar Score|39648
Appendectomy|49283
Arrhythmia Treatment (Ablation Therapy for Arrhythmias)|29837
Arthritis Physical and Occupational Therapy|9436
Arthrocentesis (Joint Aspiration)|34974
Arthroplasty (Joint Replacement Surgery Of The Hand)|4903
Arthroscopy|38048
Artificial Kidney (Hemodialysis)|44962
Aspiration, Joint (Joint Aspiration)|43282
AST Test (Liver Blood Tests)|1406
Astigmatic Keratotomy Eye Surgery|16687
Auditory Brainstem Response (Newborn Infant Hearing Screening)|34489
Augmentation, Lip (Lip Augmentation)|32652
Autism Screening and Diagnosis|12401
Autopsy|8713
Back Surgery (Minimally Invasive Lumbar Spinal Fusion)|15739
Baclofen Pump Therapy|21044
Bad Cholesterol Test (Cholesterol Test)|38791
Balloon Angioplasty Of Heart (Coronary Angioplasty)|43457
Balloon Endoscopy|8640
Balloon Enteroscopy (Balloon Endoscopy)|47895
Balloon Valvuloplasty (Heart Valve Disease Treatment)|5864
Barium Enema|35986
Barium Swallow (Upper GI Series)|30017
Barrier Methods of Birth Control|27975
Basal Body Temperature Method of Birth Control (Natural Methods of Birth Control)|31015
Bicarbonate (Electrolytes)|28536
Biliary Drainage (Duodenal Biliary Drainage)|10942
Bioelectric Therapy|8866
Biological Therapy|42090
Biological Valve (Heart Valve Disease Treatment)|46892
Biopsy Of Cervix (Colposcopy)|6688
Biopsy, Breast (Breast Biopsy)|28533
Biopsy, Liver (Liver Biopsy)|2899
Biotherapy (Biological Therapy)|31979
Birth Control Patch (Hormonal Methods of Birth Control)|24969
Birth Control Pills (Hormonal Methods of Birth Control)|5900
Birthing Classes (Pregnancy: Birthing and Parenting Classes)|9483
Biventricular Pacemaker|31913
Blepharoplasty (Eyelid Surgery)|8999
Blepharospasm Treatment, Botox (Botox Treatment)|39961
Blood Count (Complete Blood Count)|728
Blood Liver Enzymes (Liver Blood Tests)|39911
Blood Test, Ferritin (Ferritin Blood Test)|19986
Blood Test, Thyroid (Thyroid Blood Tests)|8073
Blood Transfusion|3638
Blood White Cell Count (Complete Blood Count)|8605
Blood, Bicarbonate (Electrolytes)|40860
Blood, Chloride (Electrolytes)|49876
Blood, CO2 (Electrolytes)|3367
Blood, Electrolytes (Electrolytes)|4372
Blood, Hematocrit (Complete Blood Count)|37195
Blood, Hemoglobin (Complete Blood Count)|44754
Blood, Platelet Count (Complete Blood Count)|25490
Blood, Potassium (Electrolytes)|36203
Blood, Red Cell Count (Complete Blood Count)|10441
Blood, Sodium (Electrolytes)|6232
Blue Light Therapy (Photodynamic Therapy)|14044
Bone Density Scan|38256
Bone Marrow|30452
Bone Marrow Transplant (Peripheral Blood Stem Cell Transplant)|23416
Bone Marrow Transplantation for Breast Cancer|19607
Botox Injections (Botox Treatment)|23951
Botox to Treat Multiple Sclerosis (MS)|49823
Botox Treatment|5304
Botox Treatment (Botox Treatment)|17085
Bowel Diversion Surgery Ileostomy, Colostomy|39088
Brachytherapy|25511
Bradley Method for Childbirth (Childbirth Class Options)|31657
Brain Wave Test (EEG - Electroencephalogram)|40220
Breast (Breastfeeding)|41751
Breast Augmentation|37121
Breast Biopsy|21375
Breast Cancer Follow-Up Self-Exam|34617
Breast Cancer Genetic Testing (Genetic Testing for Breast Cancer)|2724
Breast Implants (Breast Augmentation)|26129
Breast Reconstruction|16187
Breast Reconstruction Without Implants|46250
Breast Reduction|7699
Breast Self Exam|5450
Breastfeeding|16912
Breastfeeding Classes (Pregnancy: Birthing and Parenting Classes)|29028
Breath Test, Hydrogen (Hydrogen Breath Test)|41255
Breath Test, Urea (Urea Breath Test)|33685
Breathing Tube (Endotracheal Intubation)|37966
Bridges|41245
Bronchoscopy|12980
Brow Lift Cosmetic Surgery|45711
Bypass Surgery, Heart (Coronary Artery Bypass Graft)|48479
Bypass, Stomach (Gastric Bypass Surgery)|38302
C-Reactive Protein Test (CRP)|44451
C-Section (Cesarean Birth)|31937
CA 125|8090
CABG (Coronary Artery Bypass Graft)|44843
Calendar Rhythm Method of Birth Control (Natural Methods of Birth Control)|23986
Cancer Detection|33595
Capsule Endoscopy|42586
Carcinoembryonic Antigen|39810
Cardiac Catheterization|46853
Cardiac Stress Test (Exercise Stress Test)|31039
Care, Prenatal (Pregnancy: Prenatal Care and Tests)|32835
Caring for a Continent Ileostomy|45445
Caring for Teeth With Braces or Retainers|30926
Caring for Your Dentures|2291
CAT Scan|708
Cataract Surgery|33820
CBC (Complete Blood Count)|2733
CEA (Carcinoembryonic Antigen)|29590
Cervical Biopsy (Colposcopy)|47203
Cervical Cancer Screening Test (Pap Smear)|40292
Cervical Cancer Test (Cervista HPV Test)|25249
Cervical Cap (Barrier Methods of Birth Control)|37545
Cervista HPV Test|20681
Cervista HPV Test (Cervista HPV Test)|37699
Cesarean Birth (C-Section (Cesarean Birth))|5524
Cheek Implant (Chin, Cheek, and Jaw Implants)|3226
Chemical Peel|24285
Chemo Infusion and Chemoembolization of Liver|33115
Chemotherapy|30843
Chemotherapy Treatment for Breast Cancer|31546
Chest X-ray|129
Childbirth Class Options|39534
childhood immunization schedule (Childhood Vaccination Schedule)|26060
Childhood Vaccination Schedule|39237
Chin, Cheek, and Jaw Implants|45820
Chloride (Electrolytes)|9452
Cholecystectomy|13033
